subject,TR,BOLD,hemisphere,faces
115825,19,"[ 9889.72363281 12033.42382812 11984.421875   ... 10483.90234375
 10597.74511719 10693.51660156]",RH,[0.]
115825,20,"[10345.71386719 11951.83007812 11944.265625   ... 10760.47265625
 10706.63671875 10625.6796875 ]",RH,[0.]
115825,21,"[10096.42773438 11772.54980469 11660.2265625  ... 10724.53320312
 10760.11523438 10782.45605469]",RH,[0.]
115825,22,"[10295.90722656 12017.95410156 11897.39257812 ... 10650.32226562
 10632.421875   10703.69238281]",RH,[0.]
115825,23,"[10096.04394531 11722.72558594 11646.90136719 ... 10857.29199219
 10868.95117188 10746.19628906]",RH,[0.]
115825,24,"[ 9983.02734375 11891.81054688 11795.65136719 ... 10710.59960938
 10738.0703125  10775.65136719]",RH,[0.]
115825,25,"[10077.76464844 11938.34472656 11935.27636719 ... 10297.42578125
 10497.16894531 10565.828125  ]",RH,[0.]
115825,26,"[ 9968.66113281 11949.91894531 11796.2578125  ... 10190.89355469
 10164.62402344 10408.66015625]",RH,[0.]
115825,27,"[10075.30566406 11700.296875   11594.99316406 ... 10542.31738281
 10520.05664062 10728.54882812]",RH,[0.]
115825,28,"[ 9969.53125    12335.66308594 12078.21582031 ... 10588.52832031
 10490.76269531 10695.58789062]",RH,[0.]
115825,29,"[10018.15136719 11977.73535156 11756.33984375 ... 10623.99316406
 10608.58398438 10578.70507812]",RH,[0.]
115825,30,"[ 9977.63183594 11913.66503906 11837.63769531 ... 10504.87402344
 10547.99707031 10674.60644531]",RH,[0.]
115825,31,"[ 9938.34765625 11773.68261719 11686.84570312 ... 10638.22265625
 10740.96289062 10849.61230469]",RH,[0.]
115825,32,"[ 9909.34277344 11702.88867188 11752.796875   ... 10645.125
 10791.87988281 10713.12890625]",RH,[0.]
115825,33,"[ 9977.64160156 12113.99511719 11932.06542969 ... 10463.95117188
 10618.625      10570.4765625 ]",RH,[0.]
115825,34,"[10125.36425781 12180.75585938 12003.69824219 ... 10474.7265625
 10420.60449219 10646.10742188]",RH,[0.]
115825,35,"[10103.69726562 11638.55371094 11767.61914062 ... 10510.38085938
 10571.40820312 10527.09863281]",RH,[0.]
115825,36,"[10283.47558594 12063.41113281 11815.93066406 ... 10912.60644531
 10925.07421875 10800.39941406]",RH,[0.]
115825,37,"[10032.57226562 11830.12109375 11898.47363281 ... 11130.77148438
 11008.76269531 11165.00390625]",RH,[0.]
115825,38,"[10416.29492188 12038.33203125 11756.97558594 ... 10810.95214844
 10842.88769531 10846.15136719]",RH,[0.]
115825,39,"[ 9996.68261719 11744.33496094 11600.93457031 ... 10823.72460938
 10938.75       10907.6796875 ]",RH,[0.]
115825,40,"[ 9977.55566406 11931.28222656 11815.15625    ... 10399.56152344
 10656.20800781 10541.64550781]",RH,[0.]
115825,41,"[ 9978.17675781 11896.23828125 11779.72363281 ... 10196.40039062
 10309.73339844 10426.51464844]",RH,[0.]
115825,42,"[10249.70410156 11979.83105469 11844.0703125  ... 10435.04785156
 10594.92675781 10507.04199219]",RH,[0.]
115825,43,"[10012.40039062 12006.98925781 11860.17480469 ... 10664.49902344
 10713.18457031 10833.67382812]",RH,[0.]
115825,44,"[10096.58007812 12095.19042969 11921.80957031 ... 10442.73242188
 10389.94628906 10468.72949219]",RH,[0.]
115825,45,"[10073.87402344 12100.57714844 11762.11523438 ... 10704.26269531
 10814.40136719 10684.56152344]",RH,[0.]
115825,46,"[ 9970.26074219 11753.87792969 11692.43164062 ... 10448.72558594
 10602.09277344 10347.71679688]",RH,[0.]
115825,47,"[10045.49902344 11912.67675781 11744.18164062 ... 10418.79785156
 10461.98046875 10766.8359375 ]",RH,[0.]
115825,48,"[ 9694.86425781 11949.86132812 11771.24902344 ... 10678.69335938
 10703.05566406 10532.61132812]",RH,[0.]
115825,49,"[10008.10351562 11772.17480469 11683.44140625 ... 10343.55371094
 10371.30761719 10332.90722656]",RH,[0.]
115825,50,"[ 9672.06542969 12023.08496094 11768.92285156 ... 10261.03417969
 10486.25292969 10346.69628906]",RH,[0.]
115825,51,"[ 9901.69335938 12047.02832031 11811.55371094 ... 10591.9609375
 10607.16992188 10638.90625   ]",RH,[0.]
115825,52,"[10090.84765625 11976.52148438 11735.36523438 ... 10613.84863281
 10776.02246094 10752.80957031]",RH,[0.]
